Manufacturer ID,Part_ID,Part_type,Stat,Description,BigEditor_Effects,SpawnCode
277,1,Legendary Perk,Pulseometer,"Continuously passively regenerates Health, rate increases when Health is low",,
277,2,Model,Stim,"1562, 2900 8s, 20s CD",,
277,3,Rarity,Common,,,dad_repair_kit.comp_01_common
277,4,Rarity,Uncommon,,,dad_repair_kit.comp_02_uncommon
277,5,Rarity,Rare,,,dad_repair_kit.comp_03_rare
277,6,Rarity,Epic,,,dad_repair_kit.comp_04_epic
277,7,Rarity,Legendary,Pacemaker Skin,Pacemaker,dad_repair_kit.comp_05_legendary_Pacemaker
277,8,Legendary Perk,Soothing,Spawns Health Boosters when Repkit starts and ends,,
277,9,Rarity,Legendary,Healthraiser Skin,Healthraiser,dad_repair_kit.comp_05_legendary_healthraiser
265,1,Rarity,Common,,,jak_repair_kit.comp_01_common
265,2,Rarity,Uncommon,,,jak_repair_kit.comp_02_uncommon
265,3,Rarity,Rare,,,jak_repair_kit.comp_03_rare
265,4,Rarity,Epic,,,jak_repair_kit.comp_04_epic
265,5,Rarity,Legendary,Defibrillator Skin,Defibrillator,jak_repair_kit.comp_05_legendary_Defibrillator
265,6,Legendary Perk,Cardiac Shot,"When Health is below 20%, has a 50% chance to refill 1 Repkit Charge",Cardiac Shot,
265,7,Model,Tonic,"4461, , 24s CD",,
266,1,Rarity,Common,,,mal_repair_kit.comp_01_common
266,2,Rarity,Uncommon,,,mal_repair_kit.comp_02_uncommon
266,3,Rarity,Rare,,,mal_repair_kit.comp_03_rare
266,4,Rarity,Epic,,,mal_repair_kit.comp_04_epic
266,5,Rarity,Legendary,Blood Analyzer Skin,Blood Analyzer,mal_repair_kit.comp_05_legendary_BloodAnalyzer
266,6,Legendary Perk,Immunity Shot,"On use, grants immunity to the last received Elemental Damage type for 7 seconds",Immunity Shot,
266,7,Model,Refresher,"2900, 1562 8s, 20s CD",,
266,8,Rarity,Legendary,"Geiger-Roid Skin - Roid Rage: On Use applies stacks that decay over time spawning elemental Novas. Red Text: This is the part where you run.",Geiger-Roid,mal_repair_kit.comp_05_legendary_geigerroid
285,1,Legendary Perk,Heart Pump,"This Repkit has 3 Charges, and a 30% chance to refill 1 Charge on enemy kill",Heart Pump,
285,2,Model,Recorporator,"2082, 2082 8s, 24s CD",,
285,3,Rarity,Common,,,ord_repair_kit.comp_01_common
285,4,Rarity,Uncommon,,,ord_repair_kit.comp_02_uncommon
285,5,Rarity,Rare,,,ord_repair_kit.comp_03_rare
285,6,Rarity,Epic,,,ord_repair_kit.comp_04_epic
285,7,Rarity,Legendary,Triple Bypass Skin,Triple Bypass,ord_repair_kit.comp_05_legendary_TripleBypass
285,8,Legendary Perk,Blood Moon,"Broken Vial - Heals for recent instances of Damage taken within a time window. Red Text: Fighting evil by moonlight.",Paleblood,ord_repair_kit.part_augment_unique_paleblood
285,9,Rarity,Legendary,Blood Moon Skin,Paleblood,ord_repair_kit.comp_05_legendary_paleblood
274,1,Legendary Perk,Time Dialation,"Repkit Duration increased by +100%, and Cooldown reduced by -50%",Time Dialation,
274,2,Model,Scabber,", 5949 10s, 20s CD",,
274,3,Rarity,Common,,,
274,4,Rarity,Uncommon,,,
274,5,Rarity,Rare,,,
274,6,Rarity,Epic,,,
274,7,Rarity,Legendary,AF1000 Skin,AF1000 Skin,
290,1,Legendary Perk,Blood Siphon,"On kill, converts 100% of overkill damage into a healing orb that seeks nearby allies",Blood Siphon,
290,2,Model,Pocket Doc,", 2974 8s, 16s CD — Universal",,
290,3,Rarity,Common,,,ted_repair_kit.comp_01_common
290,4,Rarity,Uncommon,,,ted_repair_kit.comp_02_uncommon
290,5,Rarity,Rare,,,ted_repair_kit.comp_03_rare
290,6,Rarity,Epic,,,ted_repair_kit.comp_04_epic
290,7,Rarity,Legendary,Kill Spring Skin,Kill Spring,ted_repair_kit.comp_05_legendary_KillSpring
261,1,Rarity,Common,,,tor_repair_kit.comp_01_common
261,2,Rarity,Uncommon,,,tor_repair_kit.comp_02_uncommon
261,3,Rarity,Rare,,,tor_repair_kit.comp_03_rare
261,4,Rarity,Epic,,,tor_repair_kit.comp_04_epic
261,5,Rarity,Legendary,War Paint Skin,War Paint,tor_repair_kit.comp_05_legendary_ShinyWarPaint
261,6,Legendary Perk,Chrome,"On use, gain +30% Fire Rate and +30% Movement Speed for 15s. Taking damage reduces Repkit Cooldown by 2s",Chrome,
261,7,Model,Juicer,"1190, 1190 6s, 16s CD",,
269,1,Rarity,Common,,,vla_repair_kit.comp_01_common
269,2,Rarity,Uncommon,,,vla_repair_kit.comp_02_uncommon
269,3,Rarity,Rare,,,vla_repair_kit.comp_03_rare
269,4,Rarity,Epic,,,vla_repair_kit.comp_04_epic
269,5,Rarity,Legendary,Adrenaline Pump Skin,Adrenaline Pump,vla_repair_kit.comp_05_legendary_AdrenalinePUmp
269,6,Legendary Perk,Blood Rush,Automatically regenerates Health during Fight For Your Life,,
269,7,Model,Sobirat,"2082, , 16s CD",,
